Hour	RZT
1	1.281
2	1.293
3	1.254
4	1.273
5	1.321
6	1.257
7	1.272
8	1.275
9	1.243
10	1.261
11	1.328
12	1.308
13	1.28
14	1.256
15	1.283
16	1.259
17	1.263
18	1.287
19	1.253
20	1.244
21	1.254
22	1.278
23	1.299
24	1.277
25	1.261
26	1.276
27	1.262
28	1.265
29	1.294
30	1.283
31	1.232
32	1.326
33	1.339
34	1.379
35	1.271
36	1.325
37	1.312
38	1.283
39	1.304
40	1.282
41	1.269
42	1.293
43	1.271
44	1.326
45	1.298
46	1.244
47	1.297
48	1.294
49	1.339
50	1.268
51	1.277
52	1.309
53	1.286
54	1.292
55	1.265
56	1.283
57	1.308
58	1.246
59	1.265
60	1.317
61	1.289
62	1.274
63	1.263
64	1.292
65	1.351
66	1.259
67	1.268
68	1.332
69	1.271
70	1.314
71	1.313
72	1.307
73	1.285
74	1.266
75	1.362
76	1.315
77	1.274
78	1.275
79	1.256
80	1.278
81	1.271
82	1.279
83	1.313
84	1.296
85	1.305
86	1.223
87	1.249
88	1.282
89	1.271
90	1.264
91	1.377
92	1.288
93	1.358
94	1.303
95	1.346
96	1.281
97	1.272
98	1.265
99	1.287
100	1.274
101	1.289
102	1.317
103	1.303
104	1.275
105	1.286
106	1.244
107	1.231
108	1.262
109	1.259
110	1.298
111	1.309
112	1.346
113	1.292
114	1.254
115	1.227
